CUST_ID,BALANCE_FREQUENCY,PURCHASES,PAYMENTS,CREDIT_LIMIT,CASH_ADVANCE
C10001,0.818182,95.4,201.802084,1000,0
C10002,0.909091,0,4103.032597,7000,6442.945483
C10003,1,773.17,622.066742,7500,0
C10004,0.636364,1499,0,7500,205.788017
C10005,1,16,678.334763,1200,0
C10006,1,1333.28,1400.05777,1800,0
C10007,1,7091.01,6354.314328,13500,0
C10008,1,436.2,679.065082,2300,0
C10009,1,861.49,688.278568,7000,0
C10010,0.545455,1281.6,1164.770591,11000,0
C10011,1,920.12,1083.301007,1200,0
C10012,0.818182,1492.18,705.618627,2000,0
C10013,1,3217.99,608.263689,3000,0
C10014,1,2137.93,1655.891435,7500,0
C10015,1,0,805.647974,3000,346.81139
C10016,1,1611.7,1993.439277,8000,2301.491267
C10017,0.875,0,391.974562,3000,2784.274703
C10018,0.454545,519,254.590662,2500,0
C10019,1,504.35,1720.837373,13000,0
C10020,1,398.64,1053.980464,4000,0
C10021,1,176.68,223.0686,2000,0
C10022,1,6359.95,2077.959051,11250,229.028245
C10023,0.636364,815.9,2359.629958,1800,0
C10024,0.818182,4248.35,9479.043842,9000,7974.415626
C10025,1,0,1422.726707,6000,798.949863
C10026,1,399.6,215.306142,3000,0
C10027,1,102,890.178845,1700,244.840485
C10028,1,233.28,207.773715,1000,0
C10029,1,387.05,1601.448347,10500,2236.145259
C10030,1,100,160.767773,6900,0
C10031,1,3038.01,4230.323491,13000,3183.583301
C10032,1,1347.71,645.998299,6000,175.815755
C10033,1,324.95,1720.118876,10500,1189.533753
C10034,1,636.79,423.449696,1200,0
C10035,0.727273,547.28,8735.607835,11000,0
C10036,1,0,351.500199,1800,99.264367
C10037,1,0,1636.361601,9000,8873.375046
C10038,1,2380.55,1617.894416,5000,1697.660901
C10039,1,204,1237.111661,9000,2925.699862
C10040,0.454545,963.24,20071.07544,7500,6173.682877
C10041,0.727273,0,3067.05783,1800,3133.063934
C10043,0.909091,1526.59,1262.309666,3000,2188.419607
C10044,1,203.82,868.275275,4500,0
C10045,1,0,378.294227,1500,1481.587093
C10046,1,1525.44,1430.341501,8500,0
C10047,1,437,0,2400,184.648692
C10048,0.5,109.74,176.013005,1700,1013.659552
C10049,1,0,0,4200,1980.873201
C10050,1,2390.6,2543.953559,3300,0
C10051,1,507.5,587.866451,4000,695.097159
C10052,1,901.42,8113.297346,12000,8530.648614
C10053,1,3107.85,1399.82834,2500,0
C10054,1,0,691.825279,3500,321.359135
C10055,0.888889,1979.22,3110.052742,3000,1981.265503
C10056,0.636364,310,417.016763,1000,0
C10057,1,1283.9,0,6000,0
C10058,1,313.27,0,4000,668.468743
C10059,1,5217.62,5678.729613,7500,0
C10060,1,0,764.938728,4000,224.575517
C10061,1,229,2110.557023,6000,970.591332
C10062,0.727273,113,3509.686561,6500,0
C10063,1,66.2,338.083661,1600,0
C10064,0.909091,0,4372.148648,4150,3819.672466
C10065,0.090909,840,0,1600,0
C10067,1,1887.64,3688.045998,1850,1605.949371
C10068,1,412.33,777.451648,1800,0
C10069,0.875,0,146.074769,1500,908.423608
C10070,1,0,540.022225,2500,382.908547
C10071,1,263.5,6876.836205,6000,0
C10072,1,1363.69,1623.816348,1700,0
C10073,1,419.1,1288.214909,6250,625.399386
C10074,0.909091,4523.27,28232.69446,7000,27296.48576
C10075,1,0,910.457985,7000,1474.349901
C10077,1,713.9,889.017418,2250,0
C10078,0.909091,791.94,1305.177304,6000,0
C10079,1,561.87,1990.044998,6000,0
C10080,1,606.11,2959.920544,11000,0
C10081,1,320,1438.910569,1500,0
C10082,1,0,29.278671,1200,38.325801
C10083,1,388.66,1624.583114,7000,4621.93458
C10084,0.909091,244.85,357.802082,5000,0
C10085,0.272727,0,116.569033,9500,2985.300006
C10086,0.636364,133.05,210.053432,12000,0
C10087,0.545455,396,725.606194,1200,0
C10088,1,4915.6,4921.066897,9000,293.844792
C10089,1,1247.8,1275.229436,16500,0
C10090,1,1603.78,4589.873897,11000,5626.004046
C10092,1,2258.01,3021.575846,13500,5251.228934
C10093,1,45,1073.844885,4500,104.238064
C10094,1,0,1502.205631,6500,2717.253917
C10095,1,5100.07,6409.496345,9000,370.737197
C10096,1,1032.04,3056.424974,4000,4335.919227
C10097,1,45.65,440.840439,1800,495.657934
C10098,1,405.6,0,2400,0
C10099,1,213.34,0,2400,0
C10100,1,0,151.823651,1200,120.612912
C10101,1,739.44,417.128532,6000,0
C10102,1,0,0,4000,1713.984305
C10103,0.363636,79,217.820198,7000,0
C10104,0,0,138.021428,3000,89.849004
C10105,0.666667,20,26.487919,1500,0
C10106,0.272727,1346.28,712.149153,2000,0
C10107,1,2823.8,9172.788366,5700,0
C10108,0.090909,389.96,0,4500,0
C10109,1,0,2236.890255,4000,920.309805
C10110,1,808,532.741699,4000,959.857263
